Team,Criterion,Ref Score,Model Score,Similarity (%)
Team 36,Questions structured (5),5.0,5.0,100.0
Team 36,Questions relevant (5),5.0,5.0,100.0
Team 36,General to specific questions (5),5.0,5.0,100.0
Team 36,Transcript (5),5.0,5.0,100.0
Team 36,Table easy to read (5),3.0,4.0,80.0
Team 36,Products and features are relevant to what customer wants (8),6.0,8.0,75.0
Team 36,Summarizing critical points of interview (10),9.0,10.0,90.0
Team 36,Clear learning points (10),10.0,9.0,90.0
Team 36,Questions the team still has (10),10.0,10.0,100.0
Team 36,Outline of the next steps (10),10.0,10.0,100.0
Team 36,Recording is present (2),2.0,2.0,100.0
Team 37,Structure (10),8.0,8.0,100.0
Team 37,Grammar (2),2.0,1.0,50.0
Team 37,Roles (5),5.0,5.0,100.0
Team 37,Open and closed questions (5),5.0,2.0,40.0
Team 37,Questions structured (5),5.0,2.0,40.0
Team 37,Questions relevant (5),5.0,3.0,60.0
Team 37,General to specific questions (5),5.0,2.0,40.0
Team 37,Transcript (5),5.0,5.0,100.0
Team 37,Table easy to read (5),5.0,4.0,80.0
Team 37,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 37,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 37,Clear learning points (10),10.0,8.0,80.0
Team 37,Questions the team still has (10),10.0,8.0,80.0
Team 37,Outline of the next steps (10),10.0,8.0,80.0
Team 37,Recording is present (2),2.0,2.0,100.0
Team 38,Structure (10),9.0,9.0,100.0
Team 38,Grammar (2),2.0,1.0,50.0
Team 38,Roles (5),5.0,5.0,100.0
Team 38,Open and closed questions (5),5.0,5.0,100.0
Team 38,Questions structured (5),5.0,5.0,100.0
Team 38,Questions relevant (5),5.0,5.0,100.0
Team 38,General to specific questions (5),5.0,5.0,100.0
Team 38,Transcript (5),2.0,4.0,60.0
Team 38,Table easy to read (5),5.0,4.0,80.0
Team 38,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 38,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 38,Clear learning points (10),10.0,8.0,80.0
Team 38,Questions the team still has (10),10.0,10.0,100.0
Team 38,Outline of the next steps (10),10.0,10.0,100.0
Team 38,Recording is present (2),2.0,2.0,100.0
Team 39,Structure (10),9.0,9.0,100.0
Team 39,Grammar (2),2.0,1.0,50.0
Team 39,Roles (5),5.0,5.0,100.0
Team 39,Open and closed questions (5),5.0,4.0,80.0
Team 39,Questions structured (5),5.0,4.0,80.0
Team 39,Questions relevant (5),5.0,5.0,100.0
Team 39,General to specific questions (5),5.0,5.0,100.0
Team 39,Transcript (5),5.0,4.0,80.0
Team 39,Table easy to read (5),5.0,3.0,60.0
Team 39,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 39,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 39,Clear learning points (10),10.0,6.0,60.0
Team 39,Questions the team still has (10),2.0,2.0,100.0
Team 39,Outline of the next steps (10),1.0,10.0,10.0
Team 39,Recording is present (2),2.0,2.0,100.0
Team 40,Structure (10),10.0,9.0,90.0
Team 40,Grammar (2),2.0,2.0,100.0
Team 40,Roles (5),5.0,5.0,100.0
Team 40,Open and closed questions (5),4.0,5.0,80.0
Team 40,Questions structured (5),3.0,4.0,80.0
Team 40,Questions relevant (5),5.0,4.0,80.0
Team 40,General to specific questions (5),4.0,5.0,80.0
Team 40,Transcript (5),2.0,5.0,40.0
Team 40,Table easy to read (5),5.0,4.0,80.0
Team 40,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 40,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 40,Clear learning points (10),10.0,8.0,80.0
Team 40,Questions the team still has (10),10.0,7.0,70.0
Team 40,Outline of the next steps (10),8.0,10.0,80.0
Team 40,Recording is present (2),2.0,2.0,100.0
Team 41,Structure (10),8.0,9.0,90.0
Team 41,Grammar (2),2.0,2.0,100.0
Team 41,Roles (5),5.0,5.0,100.0
Team 41,Open and closed questions (5),5.0,5.0,100.0
Team 41,Questions structured (5),5.0,5.0,100.0
Team 41,Questions relevant (5),5.0,5.0,100.0
Team 41,General to specific questions (5),5.0,5.0,100.0
Team 41,Transcript (5),2.0,5.0,40.0
Team 41,Table easy to read (5),5.0,4.0,80.0
Team 41,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 41,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 41,Clear learning points (10),10.0,8.0,80.0
Team 41,Questions the team still has (10),10.0,10.0,100.0
Team 41,Outline of the next steps (10),10.0,10.0,100.0
Team 41,Recording is present (2),2.0,2.0,100.0
Team 42,Structure (10),9.0,8.0,90.0
Team 42,Grammar (2),1.0,1.5,75.0
Team 42,Roles (5),5.0,5.0,100.0
Team 42,Open and closed questions (5),5.0,4.0,80.0
Team 42,Questions structured (5),5.0,5.0,100.0
Team 42,Questions relevant (5),5.0,5.0,100.0
Team 42,General to specific questions (5),5.0,4.0,80.0
Team 42,Transcript (5),2.0,3.0,80.0
Team 42,Table easy to read (5),4.0,4.0,100.0
Team 42,Products and features are relevant to what customer wants (8),8.0,7.0,87.5
Team 42,Summarizing critical points of interview (10),6.0,8.0,80.0
Team 42,Clear learning points (10),6.0,6.0,100.0
Team 42,Questions the team still has (10),10.0,3.0,30.0
Team 42,Outline of the next steps (10),9.0,8.0,90.0
Team 42,Recording is present (2),2.0,2.0,100.0
Team 43,Structure (10),8.0,9.0,90.0
Team 43,Grammar (2),2.0,2.0,100.0
Team 43,Roles (5),5.0,5.0,100.0
Team 43,Open and closed questions (5),5.0,5.0,100.0
Team 43,Questions structured (5),5.0,5.0,100.0
Team 43,Questions relevant (5),5.0,5.0,100.0
Team 43,General to specific questions (5),5.0,5.0,100.0
Team 43,Transcript (5),3.0,5.0,60.0
Team 43,Table easy to read (5),5.0,5.0,100.0
Team 43,Products and features are relevant to what customer wants (8),7.0,8.0,87.5
Team 43,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 43,Clear learning points (10),10.0,8.0,80.0
Team 43,Questions the team still has (10),10.0,10.0,100.0
Team 43,Outline of the next steps (10),10.0,9.0,90.0
Team 43,Recording is present (2),2.0,2.0,100.0
Team 44,Structure (10),10.0,10.0,100.0
Team 44,Grammar (2),2.0,2.0,100.0
Team 44,Roles (5),5.0,5.0,100.0
Team 44,Open and closed questions (5),5.0,5.0,100.0
Team 44,Questions structured (5),5.0,5.0,100.0
Team 44,Questions relevant (5),5.0,5.0,100.0
Team 44,General to specific questions (5),5.0,5.0,100.0
Team 44,Transcript (5),4.0,5.0,80.0
Team 44,Table easy to read (5),4.0,4.0,100.0
Team 44,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 44,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 44,Clear learning points (10),10.0,8.0,80.0
Team 44,Questions the team still has (10),10.0,7.0,70.0
Team 44,Outline of the next steps (10),10.0,10.0,100.0
Team 44,Recording is present (2),2.0,2.0,100.0
Team 45,Structure (10),9.0,9.0,100.0
Team 45,Grammar (2),2.0,2.0,100.0
Team 45,Roles (5),5.0,5.0,100.0
Team 45,Open and closed questions (5),5.0,5.0,100.0
Team 45,Questions structured (5),5.0,5.0,100.0
Team 45,Questions relevant (5),5.0,5.0,100.0
Team 45,General to specific questions (5),5.0,5.0,100.0
Team 45,Transcript (5),5.0,5.0,100.0
Team 45,Table easy to read (5),4.0,5.0,80.0
Team 45,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 45,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 45,Clear learning points (10),10.0,8.0,80.0
Team 45,Questions the team still has (10),10.0,10.0,100.0
Team 45,Outline of the next steps (10),10.0,10.0,100.0
Team 45,Recording is present (2),0.0,2.0,0.0
Team 46,Structure (10),10.0,9.0,90.0
Team 46,Grammar (2),2.0,1.0,50.0
Team 46,Roles (5),4.0,5.0,80.0
Team 46,Open and closed questions (5),4.0,5.0,80.0
Team 46,Questions structured (5),4.0,5.0,80.0
Team 46,Questions relevant (5),5.0,5.0,100.0
Team 46,General to specific questions (5),4.0,5.0,80.0
Team 46,Transcript (5),4.0,5.0,80.0
Team 46,Table easy to read (5),5.0,5.0,100.0
Team 46,Products and features are relevant to what customer wants (8),7.0,8.0,87.5
Team 46,Summarizing critical points of interview (10),8.0,9.0,90.0
Team 46,Clear learning points (10),9.0,8.0,90.0
Team 46,Questions the team still has (10),9.0,10.0,90.0
Team 46,Outline of the next steps (10),9.0,10.0,90.0
Team 46,Recording is present (2),2.0,2.0,100.0
Team 47,Structure (10),10.0,8.0,80.0
Team 47,Grammar (2),2.0,2.0,100.0
Team 47,Roles (5),5.0,5.0,100.0
Team 47,Open and closed questions (5),5.0,4.0,80.0
Team 47,Questions structured (5),5.0,5.0,100.0
Team 47,Questions relevant (5),5.0,5.0,100.0
Team 47,General to specific questions (5),5.0,5.0,100.0
Team 47,Transcript (5),5.0,5.0,100.0
Team 47,Table easy to read (5),5.0,4.0,80.0
Team 47,Products and features are relevant to what customer wants (8),5.0,8.0,62.5
Team 47,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 47,Clear learning points (10),9.0,9.0,100.0
Team 47,Questions the team still has (10),9.0,10.0,90.0
Team 47,Outline of the next steps (10),10.0,10.0,100.0
Team 47,Recording is present (2),2.0,0.0,0.0
Team 48,Structure (10),9.0,9.0,100.0
Team 48,Grammar (2),2.0,2.0,100.0
Team 48,Roles (5),4.5,5.0,90.0
Team 48,Open and closed questions (5),3.0,5.0,60.0
Team 48,Questions structured (5),3.0,5.0,60.0
Team 48,Questions relevant (5),4.0,5.0,80.0
Team 48,General to specific questions (5),3.0,5.0,60.0
Team 48,Transcript (5),4.0,5.0,80.0
Team 48,Table easy to read (5),3.0,5.0,60.0
Team 48,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 48,Summarizing critical points of interview (10),7.0,10.0,70.0
Team 48,Clear learning points (10),7.0,10.0,70.0
Team 48,Questions the team still has (10),6.0,10.0,60.0
Team 48,Outline of the next steps (10),9.0,10.0,90.0
Team 48,Recording is present (2),2.0,2.0,100.0
Team 49,Structure (10),9.0,7.0,80.0
Team 49,Grammar (2),2.0,1.0,50.0
Team 49,Roles (5),4.0,4.0,100.0
Team 49,Open and closed questions (5),5.0,4.0,80.0
Team 49,Questions structured (5),4.0,3.0,80.0
Team 49,Questions relevant (5),4.0,4.0,100.0
Team 49,General to specific questions (5),4.0,3.0,80.0
Team 49,Transcript (5),5.0,4.0,80.0
Team 49,Table easy to read (5),4.0,3.0,80.0
Team 49,Products and features are relevant to what customer wants (8),8.0,6.0,75.0
Team 49,Summarizing critical points of interview (10),7.0,6.0,90.0
Team 49,Clear learning points (10),4.0,4.0,100.0
Team 49,Questions the team still has (10),4.0,7.0,70.0
Team 49,Outline of the next steps (10),5.0,5.0,100.0
Team 49,Recording is present (2),2.0,2.0,100.0
Team 50,Structure (10),9.0,8.0,90.0
Team 50,Grammar (2),1.0,2.0,50.0
Team 50,Roles (5),5.0,5.0,100.0
Team 50,Open and closed questions (5),5.0,4.0,80.0
Team 50,Questions structured (5),4.0,5.0,80.0
Team 50,Questions relevant (5),5.0,5.0,100.0
Team 50,General to specific questions (5),5.0,5.0,100.0
Team 50,Transcript (5),4.0,3.0,80.0
Team 50,Table easy to read (5),4.0,5.0,80.0
Team 50,Products and features are relevant to what customer wants (8),6.0,8.0,75.0
Team 50,Summarizing critical points of interview (10),8.0,8.0,100.0
Team 50,Clear learning points (10),4.0,7.0,70.0
Team 50,Questions the team still has (10),4.0,2.0,80.0
Team 50,Outline of the next steps (10),6.0,8.0,80.0
Team 50,Recording is present (2),2.0,2.0,100.0
Team 51,Structure (10),7.0,8.0,90.0
Team 51,Grammar (2),2.0,2.0,100.0
Team 51,Roles (5),5.0,5.0,100.0
Team 51,Open and closed questions (5),5.0,4.0,80.0
Team 51,Questions structured (5),4.0,5.0,80.0
Team 51,Questions relevant (5),5.0,5.0,100.0
Team 51,General to specific questions (5),5.0,5.0,100.0
Team 51,Transcript (5),4.0,5.0,80.0
Team 51,Table easy to read (5),4.0,5.0,80.0
Team 51,Products and features are relevant to what customer wants (8),7.0,8.0,87.5
Team 51,Summarizing critical points of interview (10),7.0,8.0,90.0
Team 51,Clear learning points (10),8.0,7.0,90.0
Team 51,Questions the team still has (10),8.0,10.0,80.0
Team 51,Outline of the next steps (10),8.0,9.0,90.0
Team 51,Recording is present (2),2.0,2.0,100.0
Team 52,Structure (10),10.0,8.0,80.0
Team 52,Grammar (2),2.0,1.0,50.0
Team 52,Roles (5),5.0,4.0,80.0
Team 52,Open and closed questions (5),2.0,4.0,60.0
Team 52,Questions structured (5),5.0,4.0,80.0
Team 52,Questions relevant (5),5.0,4.0,80.0
Team 52,General to specific questions (5),5.0,4.0,80.0
Team 52,Transcript (5),5.0,4.0,80.0
Team 52,Table easy to read (5),5.0,4.0,80.0
Team 52,Products and features are relevant to what customer wants (8),5.0,7.0,75.0
Team 52,Summarizing critical points of interview (10),10.0,9.0,90.0
Team 52,Clear learning points (10),10.0,8.0,80.0
Team 52,Questions the team still has (10),10.0,9.0,90.0
Team 52,Outline of the next steps (10),8.0,9.0,90.0
Team 52,Recording is present (2),2.0,2.0,100.0
Team 53,Structure (10),2.0,8.0,40.0
Team 53,Grammar (2),2.0,2.0,100.0
Team 53,Roles (5),5.0,5.0,100.0
Team 53,Open and closed questions (5),4.0,5.0,80.0
Team 53,Questions structured (5),3.0,5.0,60.0
Team 53,Questions relevant (5),4.0,5.0,80.0
Team 53,General to specific questions (5),3.0,5.0,60.0
Team 53,Transcript (5),5.0,5.0,100.0
Team 53,Table easy to read (5),5.0,2.0,40.0
Team 53,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 53,Summarizing critical points of interview (10),4.0,9.0,50.0
Team 53,Clear learning points (10),10.0,7.0,70.0
Team 53,Questions the team still has (10),9.0,5.0,60.0
Team 53,Outline of the next steps (10),8.0,7.0,90.0
Team 53,Recording is present (2),2.0,2.0,100.0
Team 54,Structure (10),9.0,9.0,100.0
Team 54,Grammar (2),2.0,1.0,50.0
Team 54,Roles (5),5.0,5.0,100.0
Team 54,Open and closed questions (5),5.0,4.0,80.0
Team 54,Questions structured (5),5.0,4.0,80.0
Team 54,Questions relevant (5),5.0,5.0,100.0
Team 54,General to specific questions (5),5.0,4.0,80.0
Team 54,Transcript (5),2.0,2.0,100.0
Team 54,Table easy to read (5),0.0,1.0,80.0
Team 54,Products and features are relevant to what customer wants (8),2.0,6.0,50.0
Team 54,Summarizing critical points of interview (10),10.0,7.0,70.0
Team 54,Clear learning points (10),10.0,7.0,70.0
Team 54,Questions the team still has (10),5.0,5.0,100.0
Team 54,Outline of the next steps (10),10.0,8.0,80.0
Team 54,Recording is present (2),0.0,0.0,100.0
Team 55,Structure (10),8.0,9.0,90.0
Team 55,Grammar (2),2.0,2.0,100.0
Team 55,Roles (5),5.0,5.0,100.0
Team 55,Open and closed questions (5),5.0,5.0,100.0
Team 55,Questions structured (5),5.0,5.0,100.0
Team 55,Questions relevant (5),5.0,5.0,100.0
Team 55,General to specific questions (5),5.0,5.0,100.0
Team 55,Transcript (5),5.0,5.0,100.0
Team 55,Table easy to read (5),5.0,4.0,80.0
Team 55,Products and features are relevant to what customer wants (8),8.0,8.0,100.0
Team 55,Summarizing critical points of interview (10),10.0,10.0,100.0
Team 55,Clear learning points (10),10.0,10.0,100.0
Team 55,Questions the team still has (10),8.0,0.0,20.0
Team 55,Outline of the next steps (10),8.0,10.0,80.0
Team 55,Recording is present (2),2.0,2.0,100.0
Team 56,Structure (10),8.0,9.0,90.0
Team 56,Grammar (2),2.0,2.0,100.0
Team 56,Roles (5),5.0,5.0,100.0
Team 56,Open and closed questions (5),5.0,5.0,100.0
Team 56,Questions structured (5),5.0,5.0,100.0
Team 56,Questions relevant (5),5.0,4.0,80.0
Team 56,General to specific questions (5),5.0,5.0,100.0
Team 56,Transcript (5),2.0,4.0,60.0
Team 56,Table easy to read (5),0.0,5.0,0.0
Team 56,Products and features are relevant to what customer wants (8),2.0,7.0,37.5
Team 56,Summarizing critical points of interview (10),5.0,8.0,70.0
Team 56,Clear learning points (10),5.0,5.0,100.0
Team 56,Questions the team still has (10),0.0,0.0,100.0
Team 56,Outline of the next steps (10),0.0,3.0,70.0
Team 56,Recording is present (2),2.0,2.0,100.0
Team 57,Structure (10),10.0,8.0,80.0
Team 57,Grammar (2),2.0,1.5,75.0
Team 57,Roles (5),5.0,5.0,100.0
Team 57,Open and closed questions (5),5.0,4.0,80.0
Team 57,Questions structured (5),3.0,4.0,80.0
Team 57,Questions relevant (5),5.0,5.0,100.0
Team 57,General to specific questions (5),5.0,5.0,100.0
Team 57,Transcript (5),5.0,3.0,60.0
Team 57,Table easy to read (5),5.0,3.0,60.0
Team 57,Products and features are relevant to what customer wants (8),6.0,8.0,75.0
Team 57,Summarizing critical points of interview (10),10.0,8.0,80.0
Team 57,Clear learning points (10),10.0,7.0,70.0
Team 57,Questions the team still has (10),10.0,6.0,60.0
Team 57,Outline of the next steps (10),10.0,9.0,90.0
Team 57,Recording is present (2),2.0,2.0,100.0
